p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
893403529984	27263424	0	1	true	2	10	1	[1, 5, 8, 14, 257, 265, 268, 274, 522, 526]	[2]	1	4
4123219460864	2130332090816	1	1	true	2	15	1	[1, 4, 8, 12, 18, 22, 261, 264, 270, 278, 282, 521, 524, 530, 534]	[1]	-1	2
34361311344	274878955744	0	1	true	2	7	1	[1, 4, 8, 14, 264, 270, 522]	[1]	-1	4
34410070880	1649292607936	0	1	true	2	10	1	[1, 5, 258, 260, 265, 518, 520, 525, 528, 534]	[2]	1	4
4226299724656	2181939331552	1	1265	false	2	20	1	[1, 4, 8, 12, 18, 20, 24, 30, 261, 264, 270, 278, 280, 284, 521, 524, 530, 532, 536, 541]	[2]	1	2
936354513728	2130332090848	0	35	true	2	16	2	[1, 4, 8, 13, 16, 22, 258, 260, 265, 273, 276, 518, 520, 525, 528, 533]	[2, 6]	1	2
51540656448	1116693070304	1	1	true	2	8	1	[0, 5, 258, 260, 518, 520, 526, 528]	[2]	1	4
824684053344	274971230688	1	3	true	2	11	1	[0, 4, 10, 12, 17, 258, 270, 272, 277, 524, 529]	[2]	1	3
927764841328	2130399199712	1	293	false	2	18	1	[1, 4, 8, 14, 16, 21, 257, 260, 266, 274, 276, 281, 517, 520, 526, 528, 532, 538]	[2]	1	2
936355038064	2130399199712	0	294	false	2	20	1	[1, 4, 8, 13, 16, 22, 30, 258, 260, 265, 273, 276, 282, 286, 518, 520, 525, 528, 532, 538]	[1]	-1	2
953534382912	532671889888	1	106	false	2	19	1	[1, 4, 8, 12, 18, 20, 25, 257, 262, 264, 270, 278, 280, 285, 522, 524, 530, 532, 537]	[2]	1	2
953534907248	532671889888	0	108	false	2	20	1	[2, 4, 8, 12, 17, 20, 26, 258, 260, 264, 269, 277, 280, 286, 518, 520, 524, 529, 532, 538]	[1]	-1	2
927713985328	515488350464	0	4	true	2	12	1	[2, 4, 9, 12, 16, 257, 261, 274, 514, 516, 530, 534]	[1]	-1	1
927764841264	2181937234176	1	210	false	2	16	1	[1, 4, 10, 257, 260, 264, 520, 778, 1024, 1030, 1032, 1281, 1284, 1288, 1541, 1546]	[2]	1	1
927713984560	481129660416	1	1	true	2	10	1	[1, 4, 10, 12, 17, 258, 262, 272, 529, 533]	[2]	1	1
953534907184	2181937234176	0	279	false	2	18	1	[1, 4, 8, 13, 16, 20, 24, 30, 258, 260, 265, 276, 280, 286, 518, 520, 534, 538]	[1]	-1	1
103080263680	1168233201664	0	1	true	2	4	1	[0, 5, 258, 262]	[1]	-1	4
927764841072	2181930942560	1	120	false	2	16	1	[1, 4, 8, 21, 256, 260, 266, 276, 281, 514, 516, 520, 526, 528, 532, 538]	[2]	1	1
953534906992	2181930942560	0	155	false	2	18	1	[1, 4, 8, 13, 16, 20, 24, 30, 258, 260, 273, 276, 280, 286, 518, 528, 532, 538]	[1]	-1	1
927763268448	498241372608	0	6	true	2	13	1	[2, 4, 9, 12, 18, 269, 272, 278, 514, 516, 521, 524, 530]	[1]	-1	4
953533858672	2147575923136	0	114	false	2	19	1	[1, 4, 8, 13, 16, 22, 24, 30, 258, 260, 265, 282, 286, 518, 520, 525, 528, 534, 538]	[1]	-1	2
34411119472	92275168	0	2	true	2	11	1	[2, 4, 8, 13, 16, 22, 262, 273, 276, 282, 518]	[1]	-1	1
859045364592	1941419065824	1	203	false	2	16	1	[1, 4, 8, 14, 16, 21, 256, 260, 274, 276, 281, 514, 517, 528, 532, 538]	[2]	1	1
824685101936	1649269014752	0	1	true	2	7	6	[1, 4, 10, 258, 262, 518, 522]	[1, 4, 8, 14, 264, 269]	0	4
884815430512	1941419065824	0	297	false	2	18	1	[1, 4, 8, 22, 24, 30, 258, 260, 265, 276, 280, 286, 518, 520, 525, 528, 532, 538]	[1]	-1	1
549807194992	87032288	0	1	true	2	11	1	[2, 4, 8, 13, 16, 22, 260, 265, 276, 282, 534]	[1]	-1	1
927764841328	2181939331104	1	206	false	2	18	1	[1, 4, 9, 17, 21, 256, 260, 266, 274, 276, 281, 514, 516, 520, 526, 528, 532, 538]	[2]	1	1
953534907248	2181939331104	0	233	false	2	20	1	[1, 4, 8, 13, 16, 20, 24, 30, 258, 260, 265, 273, 276, 280, 286, 518, 522, 530, 532, 538]	[1]	-1	1
927764841328	1700902994400	1	106	false	2	18	1	[1, 4, 8, 14, 16, 21, 256, 260, 266, 274, 276, 281, 514, 516, 521, 529, 532, 538]	[2]	1	1
953534907248	1700902994400	0	122	false	2	20	1	[1, 4, 10, 18, 20, 24, 30, 258, 260, 265, 273, 276, 280, 286, 518, 520, 525, 528, 532, 538]	[1]	-1	1
953534907248	2181939331552	1	2326	false	2	21	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 260, 264, 270, 278, 280, 285, 517, 520, 524, 530, 532, 537]	[2]	1	2
4252069790576	2181939331552	0	3592	false	2	22	1	[2, 4, 8, 12, 17, 20, 24, 28, 34, 258, 260, 264, 269, 277, 280, 286, 518, 520, 524, 529, 532, 538]	[1]	-1	2
927713460336	481061504448	1	2	true	2	13	1	[1, 4, 10, 12, 17, 258, 262, 277, 518, 522, 524, 529, 533]	[2]	1	2
824684053328	1924170514912	0	4	true	2	11	1	[1, 4, 8, 258, 260, 265, 518, 520, 525, 528, 533]	[2]	1	4
